,energy_demand,solar_irradiance,wind_speed,rate_consumption_charge
0,79.90500288052797,0.1291,43.128,0.6
1,70.46842595803,0.1592,45.9,0.6
2,68.14802718306801,0.085,46.872,0.6
3,68.836384800085,0.0,47.34,0.6
4,70.93262933016801,0.0,40.608,0.6
5,78.22184197136299,0.0,42.732,0.6
6,105.68304663965806,0.1376,28.584000000000003,0.6
7,132.73687969713,0.6236,23.040000000000003,0.6
8,123.70466749690601,63.2823,19.692,0.6
9,106.46915583162297,238.1539,19.476000000000003,0.6
10,107.02403223893599,396.1873,17.64,0.6
11,101.99941668996799,507.8751,21.276,0.6
12,97.41791265352899,552.7765,24.192,0.6
13,93.44458175385296,566.3759,22.68,0.6
14,92.30030457241192,487.8926,22.608,0.6
15,98.50706958569495,379.9435,23.076,0.6
16,122.39074606539005,182.4595,24.444,0.6
17,169.61982089091995,47.6196,26.172,0.8999999999999999
18,195.64855496671998,0.3567,26.244,0.8999999999999999
19,191.2989258264,0.0417,27.864,0.8999999999999999
20,178.74687779070993,0.0479,25.056,0.8999999999999999
21,164.89407747988002,0.0757,27.648,0.8999999999999999
22,136.61617191300996,0.068,22.068,0.6
23,108.460393087143,0.0742,23.904,0.6
24,80.190111126805,0.0417,18.432000000000002,0.6
25,70.32571938798802,0.0,14.04,0.6
26,67.57602500419502,0.0448,15.696000000000002,0.6
27,68.01982358994302,0.1036,14.832,0.6
28,69.27282359521298,0.1183,12.276000000000002,0.6
29,76.224439134763,0.126,13.356,0.6
30,100.74801781868699,0.1376,11.916,0.6
31,128.67158854210004,0.8284,12.672,0.6
32,118.79465001619802,51.2448,17.316,0.6
33,101.56502648537399,201.6727,20.340000000000003,0.6
34,102.83304330758905,273.4113,23.256,0.6
35,98.57260082279097,348.8651,27.324,0.6
36,94.66903379095793,417.9953,28.728,0.6
37,91.09867036566195,453.4913,21.276,0.6
38,90.31843181565498,478.7776,22.68,0.6
39,96.90868474798899,385.9858,20.88,0.6
40,121.13257625831,183.261,18.720000000000002,0.6
41,169.1992562810799,39.412,18.900000000000002,0.8999999999999999
42,194.1073150437801,0.5698,19.259999999999998,0.8999999999999999
43,189.52839639054005,0.0688,18.36,0.8999999999999999
44,176.6594558486,0.0587,16.308,0.8999999999999999
45,162.75451760281996,0.0804,17.496000000000002,0.8999999999999999
46,135.64036778916005,0.0842,19.656,0.6
47,108.723482844102,0.0224,18.720000000000002,0.6
48,82.659261042817,0.0819,18.36,0.6
49,73.27557156496401,0.1322,16.272,0.6
50,70.29415075125199,0.1523,15.120000000000001,0.6
51,70.32669046020098,0.1616,14.4,0.6
52,71.712339321533,0.0325,16.2,0.6
53,79.08293430907,0.0093,15.048,0.6
54,103.84046144322596,0.1067,13.716000000000001,0.6
55,133.44779313829005,0.9991,10.944,0.6
56,122.859462297483,41.4214,8.388,0.6
57,105.07084634534401,169.8998,10.836,0.6
58,106.00008848569904,278.5964,10.656,0.6
59,100.43877852580498,334.2887,15.264000000000001,0.6
60,96.87258602313798,416.2852,17.748,0.6
61,93.03639692878997,350.7626,18.288,0.6
62,92.15608930936499,369.5877,19.764000000000003,0.6
63,98.44882010333102,300.3743,22.104,0.6
64,122.51620995894004,229.4957,22.788,0.6
65,170.87907945727,45.9145,20.952,0.8999999999999999
66,195.8793726705201,0.3398,20.412,0.8999999999999999
67,191.08440767393992,0.061,19.44,0.8999999999999999
68,178.35788979592002,0.0873,16.272,0.8999999999999999
69,164.39646807769998,0.1059,12.924,0.8999999999999999
70,137.47179787555007,0.0664,10.692,0.6
71,110.47808026329997,0.0858,7.848000000000001,0.6
72,84.05244711716202,0.0564,4.824000000000001,0.6
73,74.70647424617601,0.0,1.8,0.6
74,72.180752193401,0.0765,5.112,0.6
75,72.52308218672898,0.0827,6.6240000000000006,0.6
76,73.79524073394002,0.0811,8.712,0.6
77,81.43865418181899,0.0773,8.784,0.6
78,113.30469429244796,0.0695,9.216000000000001,0.6
79,135.93880388794994,0.3824,8.712,0.6
80,124.48362170694699,7.8456,6.3,0.6
81,104.58831592099797,140.7529,6.803999999999999,0.6
82,105.30242949595798,313.683,8.316,0.6
83,98.40868001495096,392.6038,7.920000000000001,0.6
84,93.30414283685093,524.844,7.74,0.6
85,89.70906594783898,484.51,6.984,0.6
86,87.60855231242805,478.3701,8.064000000000002,0.6
87,94.153224968976,371.2531,8.316,0.6
88,118.67745064737004,211.911,8.64,0.6
89,168.8187523901899,60.0705,10.08,0.8999999999999999
90,194.03781365974,0.4563,23.868,0.8999999999999999
91,189.38145796835997,0.0363,25.056,0.8999999999999999
92,177.52079658085006,0.0518,22.608,0.8999999999999999
93,164.44448639916,0.0757,17.928,0.8999999999999999
94,138.04020485457005,0.0889,12.744,0.6
95,112.31410922587801,0.061,9.288,0.6
96,87.01602946135004,0.044,7.488,0.6
97,78.60341902430797,0.0695,6.156,0.6
98,76.73327736068202,0.085,5.148,0.6
99,77.68154491467098,0.0711,3.3120000000000003,0.6
100,79.52009694608104,0.0618,3.8880000000000003,0.6
101,87.20738625551198,0.0433,5.508,0.6
102,113.184830608297,0.0618,3.6,0.6
103,138.92191552624004,0.0873,3.2760000000000002,0.6
104,124.99749066417601,4.6976,3.9600000000000004,0.6
105,104.07675556128203,14.1871,1.9440000000000002,0.6
106,103.66020131644305,33.7615,3.096,0.6
107,96.98366828639494,46.0909,5.184,0.6
108,91.31153601195096,48.1909,3.384,0.6
109,86.83439099683699,47.3012,3.3120000000000003,0.6
110,85.925174082925,92.7087,4.32,0.6
111,92.32000398655798,258.7096,12.96,0.6
